id,nazev,diagnoza,ERN,prevalence,orphakod,mesto,kraj,rok_vzniku_org,rok_vzniku_clenstvi
org_001,"ADNP Asociace, z.s.","ADNP-vázané mnohočetné vrozené anomálie, mentální retardace a poruchy autistického spektra (ADNP syndrom/hudas)","ERN-ITHACA, ERN-RND",1-9/ 100 000,ORPHA:404448,196 00 Praha 9,Praha,2024.0,2024.0
org_002,AIPO z.s.,autoinflamatorní onemocnění,,,,504 01 Nový Bydžov,Královéhradecký,2024.0,2024.0
org_003,"Albína, z.s.",Albinismus,-,1-9 / 100 000,ORPHA:55,100 00 Praha 10,Praha,2023.0,2023.0
org_004,"ALSA, z.s.",Amyotrofická laterální skleróza,ERN-RND,1-9 / 100 000,ORPHA:803,120 00 Praha 2,Praha,2014.0,2020.0
org_005,"ANGELMAN CZ, spolek",Angelmanův syndrom,ERN-ITHACA,1-9 / 100 000,ORPHA:72,798 07 Brodek u Prostějova,Olomoucký,2006.0,
org_006,APAT - asociace pacientů s Ataxia Talengiectasia,Ataxia Telangiectasia,"ERN-SKIN,GENTURIS, RITA, ITHACA, RND, EPICARE",1 - 9 /1 000 000,ORPHA:100,106 00 Praha 10,Praha,2025.0,2025.0
org_007,"Asociace genové terapie, z.s.",Angelmanův syndrom a genetická onemocnění,ERN-ITHACA,1-9 / 100 000,ORPHA:98794  ,140 00 Praha 4 - Michle,Praha,2018.0,
org_008,"Asociace muskulárních dystrofiků v ČR, z.s.","svalové dystrofie, ALS",ERN-RND,1-9 / 100 000,"víc diagnóz, nelze přesněji specifikovat",148 00 Praha 4,Praha,1970.0,
org_009,"Asociace rodičů a přátel zdravotně postižených dětí v ČR, z.s., klub Be Treacher-Collins",Treacher Collinsův syndrom,ERN-CRANIO,1-9 / 100 000,ORPHA:861,,,,
org_010,"ATOS, z.s.",Touretteův syndrom,ERN-RND,none rare in Europe?,,160 00 Praha 6,Praha,2001.0,
org_011,"AVminority, z.s.",AVM- arteriovenózní malformace hlavy a krku,VASCERN,neznámá,,289 22 Lysá nad Labem,Středočeský,2011.0,
org_012,CADASIL CZ z.s.,"Cerebrální autozomálně dominantní arteriopatie, subkortikální infarkty, leukoencefalopatie","ERN-EYE, ITHACA",1-9/100 000,ORPHA:136,702 00 Ostrava Přívoz,Moravskoslezský,2026.0,2026.0
org_013,"Česká aliance pro kardiovaskulární onemocnění, z.s.",Homozygotní familiární hypercholesterolémie,METAB-ERN,1-9 / 1 000 000,ORPHA:391665,267 51 Zdice,Středočeský,2014.0,
org_014,"DEBRA ČR, z.ú.",Epidermolysis bullosa congenita/nemoc motýlích křídel,ERN-SKIN,1-9 / 1 000 000,,613 00 Brno,Jihomoravský,2004.0,
org_015,Diagnóza MDS,myelodysplastický syndrom,EUROBLOOD NET,1-9 / 100 000,,128 00 Praha 2-Nové Město,Praha,2008.0,
org_016,DIAGNÓZA NARKOLEPSIE z.s.,Narkolepsie s kataplexií (narkolepsie bez kataplexie),ERN-RND,1-5 / 10 000,ORPHA:2073 (ORPHA:83465),106 00 Praha 10 - Záběhlice,Praha,2009.0,
org_017,"Ehlers - Danlosův syndrom a syndrom hypermobility, z.s.",Ehlers-Danlosův syndrom a syndrom hypermobility,"ERN-Skin …v evrpoském měřítku, ale zjistit pod který ERN to spadá u nás / kontakt na odborníka; zatím nevíme český ERN",1-5 / 10 000,ORPHA:98249,152 00 Praha - Hlubočepy,Praha,2021.0,2021.0
org_018,"Frieda, z.s.","Friedreichova ataxie, FRDA",MetabERN,1-9/100000,ORPHA:95,158 00 Praha 5 - Stodůlky,Praha,2021.0,2022.0
org_019,"Fuck Cancer, z.s.","Onkoligická onemocnění, vč. Vzácných","EURACAN, PaedCan",,,118 00 Praha 1,Praha,2022.0,2023.0
org_020,"HAE Junior, z.s.",Hereditární angioedém,ERN-RITA,1-9 / 100 000,ORPHA:91378,182 00  Praha 8,Praha,2019.0,
org_021,"Kabuki syndrom CZ, z.s.",Kabuki syndrom,ITHACA,1-9 / 100 000,ORPHA:2322,182 00  Praha 8 - Ďáblice,Praha,2021.0,2022.0
org_022,"Klub nemocných cystickou fibrózou, z.s.",Cystická fibróza,ERN-LUNG,1-9 / 100 000,ORPHA:586,150 06 Praha 5,Praha,1992.0,
org_023,"Klub pacientů mnohočetný myelom, z.s.",mnohočetný myelom,EURACAN,1-5 / 10 000,ORPHA:29073, 625 00 Brno,Jihomoravský,2007.0,
org_024,KOLPINGOVA RODINA SMEČNO,Proximální spinální svalová atrofie,ERN-NMD,1-9 / 100 000,ORPHA:70,274 01 Slaný,Středočeský,2001.0,
org_025,"Kongenévus CZ-SK, z.s.",obří kongenitální melanocytový nevus,ERN-SKIN,,,330 33  Čeminy,Plzeňský,,
org_026,Ledvinka z.s.,Vzácná onemocnění ledvin,,,,110 00 Praha 1,Praha,2025.0,2026.0
org_027,"LYMFOM HELP, z.s. ",skupina lymfomů,EURACAN,,,108 00 Praha 10,Praha,2005.0,
org_028,"META - spolek pacientů se střádavými onemocněními, o.s.","choroby: Gaucherova, Pompeho, Fabryho, Niemann-Pickova",METAB-ERN,,,362 22 Nejdek,Karlovarský,2006.0,
org_029,METODĚJ z.s.,"metabolické vady, galaktosémie, encefalomyophatie Arthur, kardiomyophatie Viktor",METAB-ERN,,,182 00  Praha 8,Praha,2009.0,
org_030,"MYGRA-CZ, z.s.",myasthenia gravis,ERN EURO-NMD,1-9 / 100 000,ORPHA:589,140 00 Praha 4,Praha,2009.0,
org_031,"Národní sdružení PKU a jiných DMP, z.s.",fenylketonurie a další dědičná vzácná onemocnění,METAB-ERN,1-5 / 10 000,,120 00 Praha 2,Středočeský,2006.0,
org_032,"NEFROHEMA, o.p.s.",aHUS a PNH-vzácná nefrologická a hematologická onemocnění,ERKNnet nebo BLOOD - potřebujeme upřesnit :),1-9 / 100 000 ,,"100 00 Praha 10
",Praha,2013.0,
org_033,NF Česko,Neurofibromatóza typu 1,"ERN EYE, SKIN, ITHACA",1-5/10 000,ORPHA: 636,375 01 Týn nad Vltavou,Jihočeský,2026.0,2026.0
org_034,Občanské sdružení Imunodeficitních pacientů HAE /AAE,hereditární angioedém,ERN-RITA,,,602 00 Brno,Jihomoravský,2009.0,
org_035,Občanské sdružení rodičů dětí a dospělých postižených Gaucherovou chorobou,Gaucherova nemoc,METAB-ERN,1-9 / 100 000,ORPHA:355,360 05 Karlovy Vary,Karlovarský,1997.0,
org_036,Paleček - společnost lidí malého vzrůstu,"achondroplazie, chondrodystrofie, pseudoachondrodystrofie, spondylometaepifyzální kostní dysplazie",ERN-BOND,,,277 51 Nelahozeves,Středočeský,1997.0,
org_037,"PARENT PROJECT, z.s.",Duchennova a Beckerova svalová dystrofie,ERN-NMD,1-9 / 100 000,ORPHA:262,"431 44 Droužkovice
",Ústecký,2001.0,
org_038,"PRADER-WILLI, z.s.",Praderův-Williho syndrom,ERN-ITHACA,1-9 / 100 000,ORPHA:739,101 00 Praha 10,Praha,2003.0,
org_039,"Rett Community, z.s.",Rettův syndrom,ERN-ITHACA,1-9 / 100 000,ORPHA:778,253 01 Hostivice,Středočeský,2004.0,2012.0
org_040,"Revma Liga Česká republika, z.s.","Juvenilní idiopatická artritida (dětské), sclerodermie (systémová skleróza), systémový lupus erymatodes, vaskulitidy",ERN-RITA,,,128 50 Praha 2,Praha,,
org_041,"Rodina spolu, o.s.",dystonie,ERN-RND,,,400 01 Ústí nad Labem - Bukov,Ústecký,2010.0,
org_042,Řasinka z.s.,primární ciliární dyskineze,-,-,ORPHA:244,267 26 Všeradice,Středočeský,2023.0,2023.0
org_043,"Sdružení pacientů s plicní hypertenzí, z.s.",plicní hypertenze,ERN-LUNG,,,150 00 Praha 5,Praha,2005.0,
org_044,"SMÁci, z.s.",spinální svalová atrofie,ERN-NMD,,,252 25 Zbuzany,Středočeský,2017.0,
org_045,"Společnost C-M-T, z.s.",Charcott-Marie-Tooth choroba,ERN-NMD,,, 500 11 Hradec Králové,Královéhradecký,1999.0,
